"","date","iso_a3","currency_code","name","local_price","dollar_ex","dollar_price","usd_raw","eur_raw","gbp_raw","jpy_raw","cny_raw","gdp_dollar","adj_price","usd_adjusted","eur_adjusted","gbp_adjusted","jpy_adjusted","cny_adjusted","positive","balanced","ordering"
"58",2002-04-01,"CHL","CLP","Chile",1400,655,2.13740458015267,-0.1416,-0.10053,-0.25926,0.06054,0.6855,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,19
"59",2002-04-01,"CHN","CNY","China",10.5,8.28,1.26811594202899,-0.49072,-0.46635,-0.56052,-0.37078,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,4
"60",2002-04-01,"CZE","CZK","Czech Republic",56.28,34,1.65529411764706,-0.33522,-0.30342,-0.42634,-0.17867,0.30532,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,12
"61",2002-04-01,"DNK","DKK","Denmark",24.75,8.38,2.95346062052506,0.18613,0.24288,0.02355,0.46546,1.32901,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,25
"62",2002-04-01,"EUZ","EUR","Euro area",2.67,1.123595506,2.37629999919206,-0.04566,0,-0.17647,0.17908,0.87388,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,21
"63",2002-04-01,"GBR","GBP","Britain",1.99,0.689655172,2.8855000017313,0.15884,0.21428,0,0.43174,1.27542,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,24
"64",2002-04-01,"HKG","HKD","Hong Kong",11.2,8,1.4,-0.43775,-0.41085,-0.51482,-0.30534,0.104,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,7
"65",2002-04-01,"HUN","HUF","Hungary",459,272,1.6875,-0.32229,-0.28986,-0.41518,-0.16269,0.33071,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,13
"66",2002-04-01,"IDN","IDR","Indonesia",16000,9430,1.69671261930011,-0.31859,-0.28599,-0.41199,-0.15812,0.33798,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,14
"67",2002-04-01,"JPN","JPY","Japan",262,130,2.01538461538462,-0.19061,-0.15188,-0.30155,0,0.58927,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,17
"68",2002-04-01,"KOR","KRW","South Korea",3100,1304,2.37730061349693,-0.04526,0.00042,-0.17612,0.17958,0.87467,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,22
"69",2002-04-01,"MEX","MXN","Mexico",21.9,9.28,2.35991379310345,-0.05224,-0.0069,-0.18215,0.17095,0.86096,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,20
"70",2002-04-01,"MYS","MYR","Malaysia",5.04,3.8,1.32631578947368,-0.46734,-0.44186,-0.54035,-0.3419,0.04589,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,6
"71",2002-04-01,"NZL","NZD","New Zealand",3.6,2.24,1.60714285714286,-0.35456,-0.32368,-0.44303,-0.20256,0.26735,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,10
"72",2002-04-01,"POL","PLN","Poland",5.9,4.04,1.46039603960396,-0.4135,-0.38543,-0.49388,-0.27538,0.15163,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,8
"73",2002-04-01,"RUS","RUB","Russia",39,31.2,1.25,-0.49799,-0.47397,-0.5668,-0.37977,-0.01429,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,3
"74",2002-04-01,"SGP","SGD","Singapore",3.3,1.82,1.81318681318681,-0.27181,-0.23697,-0.37162,-0.10033,0.42983,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,15
"75",2002-04-01,"SWE","SEK","Sweden",26,10.4,2.5,0.00402,0.05206,-0.1336,0.24046,0.97143,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,23
"76",2002-04-01,"THA","THB","Thailand",55,43.3,1.270207852194,-0.48988,-0.46547,-0.5598,-0.36974,0.00165,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,5
"77",2002-04-01,"TWN","TWD","Taiwan",70,34.8,2.01149425287356,-0.19217,-0.15352,-0.3029,-0.00193,0.58621,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,16
"78",2002-04-01,"ZAF","ZAR","South Africa",9.7,10.9,0.889908256880734,-0.64261,-0.62551,-0.69159,-0.55844,-0.29824,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,2
"79",2003-04-01,"ARG","ARS","Argentina",4.1,2.88,1.42361111111111,-0.47468,-0.52244,-0.54723,-0.34796,0.19066,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,5
"80",2003-04-01,"AUS","AUD","Australia",3,1.61,1.86335403726708,-0.31242,-0.37492,-0.40737,-0.14656,0.55844,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,12
"81",2003-04-01,"BRA","BRL","Brazil",4.55,3.07,1.48208469055375,-0.45311,-0.50282,-0.52863,-0.32118,0.23956,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,7
"82",2003-04-01,"CAN","CAD","Canada",3.2,1.45,2.20689655172414,-0.18565,-0.25968,-0.29811,0.01079,0.84577,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,19
"83",2003-04-01,"CHE","CHF","Switzerland",6.3,1.37,4.5985401459854,0.69688,0.54262,0.46255,1.1062,2.84605,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,26
"84",2003-04-01,"CHL","CLP","Chile",1400,716,1.95530726256983,-0.27848,-0.34408,-0.37812,-0.10444,0.63535,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,13
"85",2003-04-01,"CHN","CNY","China",9.9,8.28,1.19565217391304,-0.5588,-0.59891,-0.61973,-0.45237,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,1
"86",2003-04-01,"CZE","CZK","Czech Republic",56.57,28.9,1.95743944636678,-0.2777,-0.34336,-0.37744,-0.10346,0.63713,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,14
"87",2003-04-01,"DNK","DKK","Denmark",27.75,6.78,4.0929203539823,0.5103,0.373,0.30174,0.87462,2.42317,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,25
"88",2003-04-01,"EUZ","EUR","Euro area",2.71,0.909090909,2.9810000002981,0.1,0,-0.05191,0.36534,1.4932,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,22
